REG;X;Y
1;0,00;17,43408869
1;1,00;17,05457898
1;2,00;17,41801461
1;3,00;17,40713499
1;4,00;17,83298983
1;5,00;18,59062549
1;6,00;19,43761236
1;7,00;20,71080917
1;8,00;22,22401894
1;9,00;23,89606172
1;10,00;25,61598237
1;11,00;28,0384731
1;12,00;30,26866596
1;13,00;32,75662307
1;14,00;35,84472749
1;15,00;38,36579322
1;16,00;42,05633058
1;17,00;45,39918497
1;18,00;49,17593394
1;19,00;53,11260312
1;20,00;57,35974743
2;0,00;9,422322267
2;0,301596136;8,648118865
2;0,603192273;12,87659027
2;0,904788409;13,04068724
2;1,206384545;12,80574955
2;1,507980681;15,62558141
2;1,809576818;16,70697483
2;2,111172954;6,595800828
2;2,41276909;17,55936122
2;2,714365226;13,18353762
2;3,015961363;23,64765694
2;3,317557499;22,2876802
2;3,619153635;15,0133254
2;3,920749771;18,25842929
2;4,222345908;16,8266448
2;4,523942044;21,00468645
2;4,82553818;16,86686944
2;5,127134317;12,48832257
2;5,428730453;15,83097944
2;5,730326589;25,02694737
2;30,15961363;71,20949303
3;0,00;2,451457941
3;1,00;8,973697842
3;2,00;14,33557143
3;3,00;18,60969116
3;4,00;21,94444469
3;5,00;24,52730807
3;6,00;26,38430123
3;7,00;27,76920661
3;8,00;28,69124516
3;9,00;29,45307403
3;10,00;29,99972456
3;11,00;30,53341204
3;12,00;31,26009987
3;13,00;32,21592997
3;14,00;33,61651079
3;15,00;35,47066214
3;16,00;38,05013843
3;17,00;41,45183376
3;18,00;45,66392078
3;19,00;51,05961644
3;20,00;57,53815305
4;0,00;13,54166009
4;1,00;6,321671352
4;2,00;18,07650027
4;3,00;18,88200669
4;4,00;18,33732984
4;5,00;16,87777318
4;6,00;25,72687309
4;7,00;22,1193103
4;8,00;24,44582936
4;9,00;27,55937993
4;10,00;31,73257003
4;11,00;29,11761708
4;12,00;26,75672665
4;13,00;34,03954557
4;14,00;34,55395089
4;15,00;46,60108922
4;16,00;43,70352748
4;17,00;43,11233018
4;18,00;54,26567875
4;19,00;47,16316476
4;20,00;47,06546533
5;0,00;10,68564039
5;1,00;12,62353518
5;2,00;14,53213849
5;3,00;16,53598703
5;4,00;18,3809963
5;5,00;20,75467521
5;6,00;21,3088637
5;7,00;25,50724599
5;8,00;24,33167187
5;9,00;30,8270722
5;10,00;31,06132808
5;11,00;31,25864645
5;12,00;31,24651783
5;13,00;34,16532462
5;14,00;34,71229915
5;15,00;36,51287509
5;16,00;37,27842605
5;17,00;45,3173586
5;18,00;39,44419437
5;19,00;61,47468363
5;20,00;52,0405198
6;0,00;14,05092391
6;1,00;14,37778057
6;2,00;15,66152633
6;3,00;16,72440732
6;4,00;16,80944351
6;5,00;18,14349329
6;6,00;18,02864947
6;7,00;20,36901071
6;8,00;20,34366858
6;9,00;22,19810483
6;10,00;23,62027823
6;11,00;39,7344627
6;12,00;39,12731661
6;13,00;39,30916121
6;14,00;41,62836842
6;15,00;43,5286484
6;16,00;43,18073811
6;17,00;45,1665395
6;18,00;44,52951273
6;19,00;46,28573229
6;20,00;47,18223328
7;6,062177827;23,91379263
7;6,062177827;23,08714323
7;6,062177827;20,09982224
7;6,062177827;14,53389375
7;6,062177827;23,59281116
7;6,062177827;21,01190882
7;6,062177827;18,41371171
7;6,062177827;25,32030292
7;6,062177827;26,2879213
7;6,062177827;24,98224878
7;18,18653348;46,93607962
7;18,18653348;47,4309617
7;18,18653348;41,6013027
7;18,18653348;50,76415687
7;18,18653348;40,12001181
7;18,18653348;53,41692676
7;18,18653348;44,2892531
7;18,18653348;43,33185702
7;18,18653348;52,00150697
7;18,18653348;46,62091864
7;18,18653348;43,59076136
8;0,00;12,18329292
8;1,00;13,54833644
8;2,00;13,75377933
8;3,00;16,43999768
8;4,00;18,43408902
8;5,00;21,2260223
8;6,00;21,12415367
8;7,00;22,9817188
8;8,00;24,57833187
8;9,00;27,97454318
8;10,00;30,37083807
8;11,00;30,57979633
8;12,00;32,09140996
8;13,00;34,01728975
8;14,00;35,75606081
8;15,00;39,95414539
8;16,00;39,6167229
8;17,00;41,60350799
8;18,00;43,14406088
8;19,00;63,72006399
8;20,00;46,90183873
